words_list,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,trial.stopped,words.started,text_2.started,words.stopped,text_2.stopped,answers.started,text_3.started,textbox.started,button.started,answers.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,thankyou.started,text_4.started,text_4.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
driver,0,0,0,0,2.0729800000008254,,0.004036000002088258,0.013026900000113528,2.009313900001871,2.05055110000103,2.0729800000008254,4.009155600000668,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
deliver,0,1,1,1,4.027713600000425,,,,,4.010325300001568,4.027713600000425,6.008583400001953,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
accident ,0,2,2,2,6.026901000001089,,,,,6.009750699999131,6.026901000001089,8.007906200000434,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
identify,0,3,3,3,8.025901799999701,,,,,8.009062400000403,8.025901799999701,10.007561099999293,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
district,0,4,4,4,10.026162300000578,,,,,10.00887000000148,10.026162300000578,12.006891000000905,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
different ,0,5,5,5,12.02703240000119,,,,,12.008219700001064,12.02703240000119,14.006429100001696,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
native,0,6,6,6,14.024214799999754,,,,,14.00759939999989,14.024214799999754,16.005709500001103,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
sacred,0,7,7,7,16.024429600001895,,,,,16.00683790000039,16.024429600001895,18.005186099999264,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
female,0,8,8,8,18.023304300000746,,,,,18.00647310000204,18.023304300000746,20.004691199999797,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
institution ,0,9,9,9,20.02553800000169,,,,,20.00604480000038,20.02553800000169,22.0038710000008,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
powder,0,10,10,10,22.0202042000019,,,,,22.004888800001936,22.0202042000019,24.002741700001934,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
picture ,0,11,11,11,24.020149100000708,,,,,24.003384800002095,24.020149100000708,26.00297390000196,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
proposal,0,12,12,12,26.020535700001346,,,,,26.004126100000576,26.020535700001346,28.00250059999962,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
freeze ,0,13,13,13,28.029986699999426,,,,,28.003704300001118,28.029986699999426,30.001917600002344,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
silence ,0,14,14,14,30.0208504000002,,,,,30.003573800000595,30.0208504000002,32.00158150000061,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
holiday ,0,15,15,15,32.02060150000034,,,,,32.00286260000212,32.02060150000034,34.0008994000018,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
passenger ,0,16,16,16,34.0289961999988,,,,,34.00218640000094,34.0289961999988,36.01704500000051,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
reputation ,0,17,17,17,36.03600759999972,,,,,36.01834199999939,36.03600759999972,38.016497900000104,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
minister,0,18,18,18,38.03546880000067,,,,,38.01795639999909,38.03546880000067,40.01606489999904,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
shade ,0,19,19,19,40.03541409999889,,,,,40.01731629999995,40.03541409999889,42.01564910000161,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
christams ,0,20,20,20,42.03676660000201,,,,,42.01698140000008,42.03676660000201,44.014832699998806,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
profit ,0,21,21,21,44.033941500001674,,,,,44.01608240000132,44.033941500001674,46.014163399999234,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
hair,0,22,22,22,46.03174349999972,,,,,46.01545160000023,46.03174349999972,48.013830200001394,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
lady,0,23,23,23,48.03049970000211,,,,,48.014992899999925,48.03049970000211,50.01317389999895,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
respond ,0,24,24,24,50.0331213999998,,,,,50.014454100000876,50.0331213999998,52.01262290000159,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
publicaly ,0,25,25,25,52.03137880000213,,,,,52.0139221999998,52.03137880000213,54.01233309999952,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
grocery ,0,26,26,26,54.032833799999935,,,,,54.01358529999925,54.032833799999935,56.011702399999194,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
patch ,0,27,27,27,56.03046080000058,,,,,56.012948899999174,56.03046080000058,58.0112079999999,,,,,,,,,,,,,,,J,001,2023-11-22_18h20.20.628,finalassignment,2023.2.2,59.936048236686105,2023-11-22 18h20.34.076961 +0530,
