words_list,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,trial.stopped,words.started,text_2.started,words.stopped,answers.started,text_3.started,textbox.started,button.started,answers.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,thankyou.started,text_4.started,text_4.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
driver,0,0,0,0,2.0871693000080995,,0.0036494999658316374,0.020895699970424175,2.0051309999544173,2.0686216999893077,2.0871693000080995,4.004604999965522,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
deliver,0,1,1,1,4.022149599972181,,,,,4.005795100005344,4.022149599972181,6.004051800002344,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
accident ,0,2,2,2,6.024034200003371,,,,,6.005278199969325,6.024034200003371,8.0036156999995,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
identify,0,3,3,3,8.022411599988118,,,,,8.004964699968696,8.022411599988118,10.003071099985391,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
district,0,4,4,4,10.022325699974317,,,,,10.004386399989016,10.022325699974317,12.002457599970512,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
different ,0,5,5,5,12.022066199977417,,,,,12.003752999997232,12.022066199977417,14.002148500003386,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
native,0,6,6,6,14.020289599953685,,,,,14.003427899966482,14.020289599953685,16.00132779998239,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
sacred,0,7,7,7,16.020048299978953,,,,,16.002462700009346,16.020048299978953,18.00102079997305,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
female,0,8,8,8,18.0200130000012,,,,,18.00230140000349,18.0200130000012,20.01720000000205,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
institution ,0,9,9,9,20.03718139999546,,,,,20.018483499996364,20.03718139999546,22.016399499960244,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
powder,0,10,10,10,22.03479929995956,,,,,22.017694999987725,22.03479929995956,24.01604379998753,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
picture ,0,11,11,11,24.037783099978697,,,,,24.017378699965775,24.037783099978697,26.015244199952576,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
proposal,0,12,12,12,26.033915899985004,,,,,26.016566000005696,26.033915899985004,28.0149817999918,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
freeze ,0,13,13,13,28.047000199963804,,,,,28.016289699997287,28.047000199963804,30.014516499999445,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
silence ,0,14,14,14,30.035511099966243,,,,,30.015794599952642,30.035511099966243,32.01396389998263,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
holiday ,0,15,15,15,32.031495000002906,,,,,32.01511769997887,32.031495000002906,34.013171200000215,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
passenger ,0,16,16,16,34.040054699988104,,,,,34.01443689997541,34.040054699988104,36.01280379999662,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
reputation ,0,17,17,17,36.03195199999027,,,,,36.01402780000353,36.03195199999027,38.01211919996422,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
minister,0,18,18,18,38.03332849999424,,,,,38.013872499985155,38.03332849999424,40.011558900005184,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
shade ,0,19,19,19,40.031348299991805,,,,,40.012795499991626,40.031348299991805,42.01096679997863,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
christams ,0,20,20,20,42.031237999966834,,,,,42.01215019996744,42.031237999966834,44.01049499999499,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
profit ,0,21,21,21,44.030206899973564,,,,,44.01161109999521,44.030206899973564,46.00983950000955,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
hair,0,22,22,22,46.02682829997502,,,,,46.01100469997618,46.02682829997502,48.00931180000771,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
lady,0,23,23,23,48.02811009995639,,,,,48.01054299995303,48.02811009995639,50.008414299984,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
respond ,0,24,24,24,50.02475589996902,,,,,50.00950089999242,50.02475589996902,52.00816769996891,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
publicaly ,0,25,25,25,52.02651199995307,,,,,52.00929079996422,52.02651199995307,54.00763949996326,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
grocery ,0,26,26,26,54.02778469998157,,,,,54.008800599956885,54.02778469998157,56.00725839997176,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
patch ,0,27,27,27,56.02635179995559,,,,,56.00849639996886,56.02635179995559,58.0066137999529,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
sentence ,0,28,28,28,58.02761479996843,,,,,58.007900599972345,58.02761479996843,60.006097099976614,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
towards ,0,29,29,29,60.024308099993505,,,,,60.00736119999783,60.024308099993505,62.00566019996768,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
point ,0,30,30,30,62.02392459998373,,,,,62.00690249999752,62.02392459998373,64.00505219999468,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
private ,0,31,31,31,64.02366839995375,,,,,64.00633279996691,64.02366839995375,66.00473970000166,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
pop,0,32,32,32,66.02241519995732,,,,,66.00603019999107,66.02241519995732,68.00410309998551,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
student ,0,33,33,33,68.0231106999563,,,,,68.00540550000733,68.0231106999563,70.0035923999967,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
cabinet,0,34,34,34,70.02225709997583,,,,,70.00484079995658,70.02225709997583,72.00317089998862,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
abroad ,0,35,35,35,72.02319009997882,,,,,72.00446179998107,72.02319009997882,74.0022706000018,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
priest ,0,36,36,36,74.0203024999937,,,,,74.00354669999797,74.0203024999937,76.00178439996671,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
retain ,0,37,37,37,76.02154960000189,,,,,76.00306789996102,76.02154960000189,78.00124439998763,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
athletic ,0,38,38,38,78.0200147999567,,,,,78.00247750000563,78.0200147999567,80.00087329995586,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
exhibition ,0,39,39,39,80.02689749997808,,,,,80.00201989995549,80.02689749997808,82.01669799996307,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
partner ,0,40,40,40,82.03474350000033,,,,,82.01788579998538,82.03474350000033,84.01618169998983,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
english ,0,41,41,41,84.03657959995326,,,,,84.01733429997694,84.03657959995326,86.01578139996855,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
always ,0,42,42,42,86.0354578999686,,,,,86.01703139999881,86.0354578999686,88.0152756999596,,,,,,,,,,,,,,K1,001,2023-11-28_00h51.43.180,finalassignment,2023.2.2,60.037992044092626,2023-11-28 00h53.35.977390 +0530,
