words_list,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,text.stopped,trial.stopped,words.started,text_2.started,words.stopped,answers.started,text_3.started,textbox.started,button.started,answers.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,thankyou.started,text_4.started,text_4.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
driver,0,0,0,0,2.022216800000024,,0.003372999999555759,0.011571899998671142,2.022216800000024,1.9948084999996354,2.0120649999989837,2.022216800000024,4.010813400000188,,,,,,,,,,,,,,K,001,2023-11-22_17h41.29.922,finalassignment,2023.2.2,59.95811326159363,2023-11-22 17h41.49.035734 +0530,
deliver,0,1,1,1,4.029161999998905,,,,,,4.011974199998804,4.029161999998905,6.010300599999027,,,,,,,,,,,,,,K,001,2023-11-22_17h41.29.922,finalassignment,2023.2.2,59.95811326159363,2023-11-22 17h41.49.035734 +0530,
accident ,0,2,2,2,6.028663599998254,,,,,,6.011436099997809,6.028663599998254,8.00979549999829,,,,,,,,,,,,,,K,001,2023-11-22_17h41.29.922,finalassignment,2023.2.2,59.95811326159363,2023-11-22 17h41.49.035734 +0530,
identify,0,3,3,3,8.028470500001276,,,,,,8.011085499998444,8.028470500001276,10.009307799999078,,,,,,,,,,,,,,K,001,2023-11-22_17h41.29.922,finalassignment,2023.2.2,59.95811326159363,2023-11-22 17h41.49.035734 +0530,
district,0,4,4,4,10.028126400000474,,,,,,10.010655900001439,10.028126400000474,12.00854099999924,,,,,,,,,,,,,,K,001,2023-11-22_17h41.29.922,finalassignment,2023.2.2,59.95811326159363,2023-11-22 17h41.49.035734 +0530,
different ,0,5,5,5,12.029574799998954,,,,,,12.009896799998387,12.029574799998954,14.008384299999307,,,,,,,,,,,,,,K,001,2023-11-22_17h41.29.922,finalassignment,2023.2.2,59.95811326159363,2023-11-22 17h41.49.035734 +0530,
native,0,6,6,6,14.027432099999714,,,,,,14.009697400000732,14.027432099999714,16.007447399999364,,,,,,,,,,,,,,K,001,2023-11-22_17h41.29.922,finalassignment,2023.2.2,59.95811326159363,2023-11-22 17h41.49.035734 +0530,
sacred,0,7,7,7,16.027212699998927,,,,,,16.008688099998835,16.027212699998927,18.00667170000088,,,,,,,,,,,,,,K,001,2023-11-22_17h41.29.922,finalassignment,2023.2.2,59.95811326159363,2023-11-22 17h41.49.035734 +0530,
female,0,8,8,8,18.024295399998664,,,,,,18.00778200000059,18.024295399998664,20.006580099998246,,,,,,,,,,,,,,K,001,2023-11-22_17h41.29.922,finalassignment,2023.2.2,59.95811326159363,2023-11-22 17h41.49.035734 +0530,
institution ,0,9,9,9,20.02618269999948,,,,,,20.00804309999876,20.02618269999948,22.0058695000007,,,,,,,,,,,,,,K,001,2023-11-22_17h41.29.922,finalassignment,2023.2.2,59.95811326159363,2023-11-22 17h41.49.035734 +0530,
