words_list,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,trial.stopped,words.started,text_2.started,words.stopped,answers.started,text_3.started,textbox.started,button.started,answers.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,thankyou.started,text_4.started,text_4.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
driver,0,0,0,0,2.0636156000000483,,0.0034973999972862657,0.012566099998366553,2.006000800000038,2.044795099998737,2.0636156000000483,4.005548199998884,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
deliver,0,1,1,1,4.02338079999754,,,,,4.006739799999195,4.02338079999754,6.005373399999371,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
accident ,0,2,2,2,6.024233099997218,,,,,6.006638799997745,6.024233099997218,8.004650099999708,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
identify,0,3,3,3,8.025186299997586,,,,,8.005923400000029,8.025186299997586,10.00413320000007,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
district,0,4,4,4,10.022363000000041,,,,,10.005450699998619,10.022363000000041,12.003488899998047,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
different ,0,5,5,5,12.024646999998367,,,,,12.00468550000005,12.024646999998367,14.002938099998573,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
native,0,6,6,6,14.025993199997174,,,,,14.004225199998473,14.025993199997174,16.002252399997815,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
sacred,0,7,7,7,16.020811099999264,,,,,16.0034169999999,16.020811099999264,18.002075799999147,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
female,0,8,8,8,18.020849499996984,,,,,18.003363499999978,18.020849499996984,20.001291099997616,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
institution ,0,9,9,9,20.020612899999833,,,,,20.00264309999693,20.020612899999833,22.000783799998317,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
powder,0,10,10,10,22.019988199997897,,,,,22.00208609999754,22.019988199997897,24.016953999998805,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
picture ,0,11,11,11,24.035866399997758,,,,,24.018280799999047,24.035866399997758,26.016545099999348,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
proposal,0,12,12,12,26.035896199999115,,,,,26.017885399996885,26.035896199999115,28.0158792000002,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
